Example response to /action,41743
/track/6/fx/3/fxparam/3/value (0.0,)
/track/6/fx/3/fxparam/4/value (0.0,)
/track/6/fx/3/fxparam/5/value (0.0,)
/track/6/fx/3/fxparam/6/value (0.0,)
/track/6/fx/3/fxparam/7/value (0.0,)
/track/6/fx/3/fxparam/8/value (0.0,)
/track/6/fx/3/fxparam/9/value (0.0,)
/track/6/fx/3/fxparam/10/value (0.0,)
/track/6/fx/3/fxparam/11/value (0.0,)
/track/6/fx/3/fxparam/12/value (0.0,)
/track/6/fx/3/fxparam/13/value (0.0,)
/track/6/fx/3/fxparam/14/value (0.0,)
/track/6/fx/3/fxparam/15/value (0.0,)
/track/6/fx/3/fxparam/16/value (0.0,)
/track/6/fx/4/name ('',)
/track/6/fx/4/number/str ('',)
/track/6/fx/4/preset ('',)
/track/6/fx/4/bypass (0.0,)
/track/6/fx/4/openui (0.0,)
/track/6/fx/4/fxparam/1/value (0.0,)
/track/6/fx/4/fxparam/2/value (0.0,)
/track/6/fx/4/fxparam/3/value (0.0,)
/track/6/fx/4/fxparam/4/value (0.0,)
/track/6/fx/4/fxparam/5/value (0.0,)
/track/6/fx/4/fxparam/6/value (0.0,)
/track/6/fx/4/fxparam/7/value (0.0,)
/track/6/fx/4/fxparam/8/value (0.0,)
/track/6/fx/4/fxparam/9/value (0.0,)
/track/6/fx/4/fxparam/10/value (0.0,)
/track/6/fx/4/fxparam/11/value (0.0,)
/track/6/fx/4/fxparam/12/value (0.0,)
/track/6/fx/4/fxparam/13/value (0.0,)
/track/6/fx/4/fxparam/14/value (0.0,)
/track/6/fx/4/fxparam/15/value (0.0,)
/track/6/fx/4/fxparam/16/value (0.0,)
/track/6/fx/5/name ('',)
/track/6/fx/5/number/str ('',)
/track/6/fx/5/preset ('',)
/track/6/fx/5/bypass (0.0,)
/track/6/fx/5/openui (0.0,)
/track/6/fx/5/fxparam/1/value (0.0,)
/track/6/fx/5/fxparam/2/value (0.0,)
/track/6/fx/5/fxparam/3/value (0.0,)
/track/6/fx/5/fxparam/4/value (0.0,)
/track/6/fx/5/fxparam/5/value (0.0,)
/track/6/fx/5/fxparam/6/value (0.0,)
/track/6/fx/5/fxparam/7/value (0.0,)
/track/6/fx/5/fxparam/8/value (0.0,)
/track/6/fx/5/fxparam/9/value (0.0,)
/track/6/fx/5/fxparam/10/value (0.0,)
/track/6/fx/5/fxparam/11/value (0.0,)
/track/6/fx/5/fxparam/12/value (0.0,)
/track/6/fx/5/fxparam/13/value (0.0,)
/track/6/fx/5/fxparam/14/value (0.0,)
/track/6/fx/5/fxparam/15/value (0.0,)
/track/6/fx/5/fxparam/16/value (0.0,)
/track/6/fx/6/name ('',)
/track/6/fx/6/number/str ('',)
/track/6/fx/6/preset ('',)
/track/6/fx/6/bypass (0.0,)
/track/6/fx/6/openui (0.0,)
/track/6/fx/6/fxparam/1/value (0.0,)
/track/6/fx/6/fxparam/2/value (0.0,)
/track/6/fx/6/fxparam/3/value (0.0,)
/track/6/fx/6/fxparam/4/value (0.0,)
/track/6/fx/6/fxparam/5/value (0.0,)
/track/6/fx/6/fxparam/6/value (0.0,)
/track/6/fx/6/fxparam/7/value (0.0,)
/track/6/fx/6/fxparam/8/value (0.0,)
/track/6/fx/6/fxparam/9/value (0.0,)
/track/6/fx/6/fxparam/10/value (0.0,)
/track/6/fx/6/fxparam/11/value (0.0,)
/track/6/fx/6/fxparam/12/value (0.0,)
/track/6/fx/6/fxparam/13/value (0.0,)
/track/6/fx/6/fxparam/14/value (0.0,)
/track/6/fx/6/fxparam/15/value (0.0,)
/track/6/fx/6/fxparam/16/value (0.0,)
/track/6/fx/7/name ('',)
/track/6/fx/7/number/str ('',)
/track/6/fx/7/preset ('',)
/track/6/fx/7/bypass (0.0,)
/track/6/fx/7/openui (0.0,)
/track/6/fx/7/fxparam/1/value (0.0,)
/track/6/fx/7/fxparam/2/value (0.0,)
/track/6/fx/7/fxparam/3/value (0.0,)
/track/6/fx/7/fxparam/4/value (0.0,)
/track/6/fx/7/fxparam/5/value (0.0,)
/track/6/fx/7/fxparam/6/value (0.0,)
/track/6/fx/7/fxparam/7/value (0.0,)
/track/6/fx/7/fxparam/8/value (0.0,)
/track/6/fx/7/fxparam/9/value (0.0,)
/track/6/fx/7/fxparam/10/value (0.0,)
/track/6/fx/7/fxparam/11/value (0.0,)
/track/6/fx/7/fxparam/12/value (0.0,)
/track/6/fx/7/fxparam/13/value (0.0,)
/track/6/fx/7/fxparam/14/value (0.0,)
/track/6/fx/7/fxparam/15/value (0.0,)
/track/6/fx/7/fxparam/16/value (0.0,)
/track/6/fx/8/name ('',)
/track/6/fx/8/number/str ('',)
/track/6/fx/8/preset ('',)
/track/6/fx/8/bypass (0.0,)
/track/6/fx/8/openui (0.0,)
/track/6/fx/8/fxparam/1/value (0.0,)
/track/6/fx/8/fxparam/2/value (0.0,)
/track/6/fx/8/fxparam/3/value (0.0,)
/track/6/fx/8/fxparam/4/value (0.0,)
/track/6/fx/8/fxparam/5/value (0.0,)
/track/6/fx/8/fxparam/6/value (0.0,)
/track/6/fx/8/fxparam/7/value (0.0,)
/track/6/fx/8/fxparam/8/value (0.0,)
/track/6/fx/8/fxparam/9/value (0.0,)
/track/6/fx/8/fxparam/10/value (0.0,)
/track/6/fx/8/fxparam/11/value (0.0,)
/track/6/fx/8/fxparam/12/value (0.0,)
/track/6/fx/8/fxparam/13/value (0.0,)
/track/6/fx/8/fxparam/14/value (0.0,)
/track/6/fx/8/fxparam/15/value (0.0,)
/track/6/fx/8/fxparam/16/value (0.0,)
/track/7/name ('Track 7',)
/track/7/number/str ('7',)
/track/7/select (0.0,)
/track/7/volume/db (-150.0,)
/track/7/volume/str ('-inf dB',)
/track/7/volume (0.0025138729251921177,)
/track/7/panmode ('Balance',)
/track/7/pan2 (0.5,)
/track/7/pan2/str ('',)
/track/7/pan (0.5,)
/track/7/pan/str ('C',)
/track/7/mute (0.0,)
/track/7/mute/toggle (0.0,)
/track/7/solo (0.0,)
/track/7/solo/toggle (0.0,)
/track/7/recarm (0.0,)
/track/7/recarm/toggle (0.0,)
/track/7/monitor (0.0,)
/track/7/autotrim (1.0,)
/track/7/autoread (0.0,)
/track/7/autolatch (0.0,)
/track/7/autotouch (0.0,)
/track/7/autowrite (0.0,)
/track/7/send/1/name ('Send 1',)
/track/7/send/1/volume/str ('-inf dB',)
/track/7/send/1/volume (0.0025138729251921177,)
/track/7/send/1/pan/str ('center',)
/track/7/send/1/pan (0.5,)
/track/7/send/2/name ('Send 2',)
/track/7/send/2/volume/str ('-inf dB',)
/track/7/send/2/volume (0.0025138729251921177,)
/track/7/send/2/pan/str ('center',)
/track/7/send/2/pan (0.5,)
/track/7/send/3/name ('Send 3',)
/track/7/send/3/volume/str ('-inf dB',)
/track/7/send/3/volume (0.0025138729251921177,)
/track/7/send/3/pan/str ('center',)
/track/7/send/3/pan (0.5,)
/track/7/send/4/name ('Send 4',)
/track/7/send/4/volume/str ('-inf dB',)
/track/7/send/4/volume (0.0025138729251921177,)
/track/7/send/4/pan/str ('center',)
/track/7/send/4/pan (0.5,)
/track/7/recv/1/name ('Recv 1',)
/track/7/recv/1/volume/str ('-inf dB',)
/track/7/recv/1/volume (0.0025138729251921177,)
/track/7/recv/1/pan/str ('center',)
/track/7/recv/1/pan (0.5,)
/track/7/recv/2/name ('Recv 2',)
/track/7/recv/2/volume/str ('-inf dB',)
/track/7/recv/2/volume (0.0025138729251921177,)
/track/7/recv/2/pan/str ('center',)
/track/7/recv/2/pan (0.5,)
/track/7/recv/3/name ('Recv 3',)
/track/7/recv/3/volume/str ('-inf dB',)
/track/7/recv/3/volume (0.0025138729251921177,)
/track/7/recv/3/pan/str ('center',)
/track/7/recv/3/pan (0.5,)
/track/7/recv/4/name ('Recv 4',)
/track/7/recv/4/volume/str ('-inf dB',)
/track/7/recv/4/volume (0.0025138729251921177,)
/track/7/recv/4/pan/str ('center',)
/track/7/recv/4/pan (0.5,)
/track/7/fx/1/name ('',)
/track/7/fx/1/number/str ('',)
/track/7/fx/1/preset ('',)
/track/7/fx/1/bypass (0.0,)
/track/7/fx/1/openui (0.0,)
/track/7/fx/1/fxparam/1/value (0.0,)
/track/7/fx/1/fxparam/2/value (0.0,)
/track/7/fx/1/fxparam/3/value (0.0,)
/track/7/fx/1/fxparam/4/value (0.0,)
/track/7/fx/1/fxparam/5/value (0.0,)
/track/7/fx/1/fxparam/6/value (0.0,)
/track/7/fx/1/fxparam/7/value (0.0,)
/track/7/fx/1/fxparam/8/value (0.0,)
/track/7/fx/1/fxparam/9/value (0.0,)
/track/7/fx/1/fxparam/10/value (0.0,)
/track/7/fx/1/fxparam/11/value (0.0,)
/track/7/fx/1/fxparam/12/value (0.0,)
/track/7/fx/1/fxparam/13/value (0.0,)
/track/7/fx/1/fxparam/14/value (0.0,)
/track/7/fx/1/fxparam/15/value (0.0,)
/track/7/fx/1/fxparam/16/value (0.0,)
/track/7/fxinst/name ('',)
/track/7/fxinst/preset ('',)
/track/7/fxinst/bypass (0.0,)
/track/7/fxinst/openui (0.0,)
/track/7/fx/2/name ('',)
/track/7/fx/2/number/str ('',)
/track/7/fx/2/preset ('',)
/track/7/fx/2/bypass (0.0,)
/track/7/fx/2/openui (0.0,)
/track/7/fx/2/fxparam/1/value (0.0,)
/track/7/fx/2/fxparam/2/value (0.0,)
/track/7/fx/2/fxparam/3/value (0.0,)
/track/7/fx/2/fxparam/4/value (0.0,)
/track/7/fx/2/fxparam/5/value (0.0,)
/track/7/fx/2/fxparam/6/value (0.0,)
/track/7/fx/2/fxparam/7/value (0.0,)
/track/7/fx/2/fxparam/8/value (0.0,)
/track/7/fx/2/fxparam/9/value (0.0,)
/track/7/fx/2/fxparam/10/value (0.0,)
/track/7/fx/2/fxparam/11/value (0.0,)
/track/7/fx/2/fxparam/12/value (0.0,)
/track/7/fx/2/fxparam/13/value (0.0,)
/track/7/fx/2/fxparam/14/value (0.0,)
/track/7/fx/2/fxparam/15/value (0.0,)
/track/7/fx/2/fxparam/16/value (0.0,)
/track/7/fx/3/name ('',)
/track/7/fx/3/number/str ('',)
/track/7/fx/3/preset ('',)
/track/7/fx/3/bypass (0.0,)
/track/7/fx/3/openui (0.0,)
/track/7/fx/3/fxparam/1/value (0.0,)
/track/7/fx/3/fxparam/2/value (0.0,)
/track/7/fx/3/fxparam/3/value (0.0,)
/track/7/fx/3/fxparam/4/value (0.0,)
/track/7/fx/3/fxparam/5/value (0.0,)
/track/7/fx/3/fxparam/6/value (0.0,)
/track/7/fx/3/fxparam/7/value (0.0,)
/track/7/fx/3/fxparam/8/value (0.0,)
/track/7/fx/3/fxparam/9/value (0.0,)
/track/7/fx/3/fxparam/10/value (0.0,)
/track/7/fx/3/fxparam/11/value (0.0,)
/track/7/fx/3/fxparam/12/value (0.0,)
/track/7/fx/3/fxparam/13/value (0.0,)
/track/7/fx/3/fxparam/14/value (0.0,)
/track/7/fx/3/fxparam/15/value (0.0,)
/track/7/fx/3/fxparam/16/value (0.0,)
/track/7/fx/4/name ('',)
/track/7/fx/4/number/str ('',)
/track/7/fx/4/preset ('',)
/track/7/fx/4/bypass (0.0,)
/track/7/fx/4/openui (0.0,)
/track/7/fx/4/fxparam/1/value (0.0,)
/track/7/fx/4/fxparam/2/value (0.0,)
/track/7/fx/4/fxparam/3/value (0.0,)
/track/7/fx/4/fxparam/4/value (0.0,)
/track/7/fx/4/fxparam/5/value (0.0,)
/track/7/fx/4/fxparam/6/value (0.0,)
/track/7/fx/4/fxparam/7/value (0.0,)
/track/7/fx/4/fxparam/8/value (0.0,)
/track/7/fx/4/fxparam/9/value (0.0,)
/track/7/fx/4/fxparam/10/value (0.0,)
/track/7/fx/4/fxparam/11/value (0.0,)
/track/7/fx/4/fxparam/12/value (0.0,)
/track/7/fx/4/fxparam/13/value (0.0,)
/track/7/fx/4/fxparam/14/value (0.0,)
/track/7/fx/4/fxparam/15/value (0.0,)
/track/7/fx/4/fxparam/16/value (0.0,)
/track/7/fx/5/name ('',)
/track/7/fx/5/number/str ('',)
/track/7/fx/5/preset ('',)
/track/7/fx/5/bypass (0.0,)
/track/7/fx/5/openui (0.0,)
/track/7/fx/5/fxparam/1/value (0.0,)
/track/7/fx/5/fxparam/2/value (0.0,)
/track/7/fx/5/fxparam/3/value (0.0,)
/track/7/fx/5/fxparam/4/value (0.0,)
/track/7/fx/5/fxparam/5/value (0.0,)
/track/7/fx/5/fxparam/6/value (0.0,)
/track/7/fx/5/fxparam/7/value (0.0,)
/track/7/fx/5/fxparam/8/value (0.0,)
/track/7/fx/5/fxparam/9/value (0.0,)
/track/7/fx/5/fxparam/10/value (0.0,)
/track/7/fx/5/fxparam/11/value (0.0,)
/track/7/fx/5/fxparam/12/value (0.0,)
/track/7/fx/5/fxparam/13/value (0.0,)
/track/7/fx/5/fxparam/14/value (0.0,)
/track/7/fx/5/fxparam/15/value (0.0,)
/track/7/fx/5/fxparam/16/value (0.0,)
/track/7/fx/6/name ('',)
/track/7/fx/6/number/str ('',)
/track/7/fx/6/preset ('',)
/track/7/fx/6/bypass (0.0,)
/track/7/fx/6/openui (0.0,)
/track/7/fx/6/fxparam/1/value (0.0,)
/track/7/fx/6/fxparam/2/value (0.0,)
/track/7/fx/6/fxparam/3/value (0.0,)
/track/7/fx/6/fxparam/4/value (0.0,)
/track/7/fx/6/fxparam/5/value (0.0,)
/track/7/fx/6/fxparam/6/value (0.0,)
/track/7/fx/6/fxparam/7/value (0.0,)
/track/7/fx/6/fxparam/8/value (0.0,)
/track/7/fx/6/fxparam/9/value (0.0,)
/track/7/fx/6/fxparam/10/value (0.0,)
/track/7/fx/6/fxparam/11/value (0.0,)
/track/7/fx/6/fxparam/12/value (0.0,)
/track/7/fx/6/fxparam/13/value (0.0,)
/track/7/fx/6/fxparam/14/value (0.0,)
/track/7/fx/6/fxparam/15/value (0.0,)
/track/7/fx/6/fxparam/16/value (0.0,)
/track/7/fx/7/name ('',)
/track/7/fx/7/number/str ('',)
/track/7/fx/7/preset ('',)
/track/7/fx/7/bypass (0.0,)
/track/7/fx/7/openui (0.0,)
/track/7/fx/7/fxparam/1/value (0.0,)
/track/7/fx/7/fxparam/2/value (0.0,)
/track/7/fx/7/fxparam/3/value (0.0,)
/track/7/fx/7/fxparam/4/value (0.0,)
/track/7/fx/7/fxparam/5/value (0.0,)
/track/7/fx/7/fxparam/6/value (0.0,)
/track/7/fx/7/fxparam/7/value (0.0,)
/track/7/fx/7/fxparam/8/value (0.0,)
/track/7/fx/7/fxparam/9/value (0.0,)
/track/7/fx/7/fxparam/10/value (0.0,)
/track/7/fx/7/fxparam/11/value (0.0,)
/track/7/fx/7/fxparam/12/value (0.0,)
/track/7/fx/7/fxparam/13/value (0.0,)
/track/7/fx/7/fxparam/14/value (0.0,)
/track/7/fx/7/fxparam/15/value (0.0,)
/track/7/fx/7/fxparam/16/value (0.0,)
/track/7/fx/8/name ('',)
/track/7/fx/8/number/str ('',)
/track/7/fx/8/preset ('',)
/track/7/fx/8/bypass (0.0,)
/track/7/fx/8/openui (0.0,)
/track/7/fx/8/fxparam/1/value (0.0,)
/track/7/fx/8/fxparam/2/value (0.0,)
/track/7/fx/8/fxparam/3/value (0.0,)
/track/7/fx/8/fxparam/4/value (0.0,)
/track/7/fx/8/fxparam/5/value (0.0,)
/track/7/fx/8/fxparam/6/value (0.0,)
/track/7/fx/8/fxparam/7/value (0.0,)
/track/7/fx/8/fxparam/8/value (0.0,)
/track/7/fx/8/fxparam/9/value (0.0,)
/track/7/fx/8/fxparam/10/value (0.0,)
/track/7/fx/8/fxparam/11/value (0.0,)
/track/7/fx/8/fxparam/12/value (0.0,)
/track/7/fx/8/fxparam/13/value (0.0,)
/track/7/fx/8/fxparam/14/value (0.0,)
/track/7/fx/8/fxparam/15/value (0.0,)
/track/7/fx/8/fxparam/16/value (0.0,)
/track/8/name ('Track 8',)
/track/8/number/str ('8',)
/track/8/select (0.0,)
/track/8/volume/db (-150.0,)
/track/8/volume/str ('-inf dB',)
/track/8/volume (0.0025138729251921177,)
/track/8/panmode ('Balance',)
/track/8/pan2 (0.5,)
/track/8/pan2/str ('',)
/track/8/pan (0.5,)
/track/8/pan/str ('C',)
/track/8/mute (0.0,)
/track/8/mute/toggle (0.0,)
/track/8/solo (0.0,)
/track/8/solo/toggle (0.0,)
/track/8/recarm (0.0,)
/track/8/recarm/toggle (0.0,)
/track/8/monitor (0.0,)
/track/8/autotrim (1.0,)
/track/8/autoread (0.0,)
/track/8/autolatch (0.0,)
/track/8/autotouch (0.0,)
/track/8/autowrite (0.0,)
/track/8/send/1/name ('Send 1',)
/track/8/send/1/volume/str ('-inf dB',)
/track/8/send/1/volume (0.0025138729251921177,)
/track/8/send/1/pan/str ('center',)
/track/8/send/1/pan (0.5,)
/track/8/send/2/name ('Send 2',)
/track/8/send/2/volume/str ('-inf dB',)
/track/8/send/2/volume (0.0025138729251921177,)
/track/8/send/2/pan/str ('center',)
/track/8/send/2/pan (0.5,)
/track/8/send/3/name ('Send 3',)
/track/8/send/3/volume/str ('-inf dB',)
/track/8/send/3/volume (0.0025138729251921177,)
/track/8/send/3/pan/str ('center',)
/track/8/send/3/pan (0.5,)
/track/8/send/4/name ('Send 4',)
/track/8/send/4/volume/str ('-inf dB',)
/track/8/send/4/volume (0.0025138729251921177,)
/track/8/send/4/pan/str ('center',)
/track/8/send/4/pan (0.5,)
/track/8/recv/1/name ('Recv 1',)
/track/8/recv/1/volume/str ('-inf dB',)
/track/8/recv/1/volume (0.0025138729251921177,)
/track/8/recv/1/pan/str ('center',)
/track/8/recv/1/pan (0.5,)
/track/8/recv/2/name ('Recv 2',)
/track/8/recv/2/volume/str ('-inf dB',)
/track/8/recv/2/volume (0.0025138729251921177,)
/track/8/recv/2/pan/str ('center',)
/track/8/recv/2/pan (0.5,)
/track/8/recv/3/name ('Recv 3',)
/track/8/recv/3/volume/str ('-inf dB',)
/track/8/recv/3/volume (0.0025138729251921177,)
/track/8/recv/3/pan/str ('center',)
/track/8/recv/3/pan (0.5,)
/track/8/recv/4/name ('Recv 4',)
/track/8/recv/4/volume/str ('-inf dB',)
/track/8/recv/4/volume (0.0025138729251921177,)
/track/8/recv/4/pan/str ('center',)
/track/8/recv/4/pan (0.5,)
/track/8/fx/1/name ('',)
/track/8/fx/1/number/str ('',)
/track/8/fx/1/preset ('',)
/track/8/fx/1/bypass (0.0,)
/track/8/fx/1/openui (0.0,)
/track/8/fx/1/fxparam/1/value (0.0,)
/track/8/fx/1/fxparam/2/value (0.0,)
/track/8/fx/1/fxparam/3/value (0.0,)
/track/8/fx/1/fxparam/4/value (0.0,)
/track/8/fx/1/fxparam/5/value (0.0,)
/track/8/fx/1/fxparam/6/value (0.0,)
/track/8/fx/1/fxparam/7/value (0.0,)
/track/8/fx/1/fxparam/8/value (0.0,)
/track/8/fx/1/fxparam/9/value (0.0,)
/track/8/fx/1/fxparam/10/value (0.0,)
/track/8/fx/1/fxparam/11/value (0.0,)
/track/8/fx/1/fxparam/12/value (0.0,)
/track/8/fx/1/fxparam/13/value (0.0,)
/track/8/fx/1/fxparam/14/value (0.0,)
/track/8/fx/1/fxparam/15/value (0.0,)
/track/8/fx/1/fxparam/16/value (0.0,)
/track/8/fxinst/name ('',)
/track/8/fxinst/preset ('',)
/track/8/fxinst/bypass (0.0,)
/track/8/fxinst/openui (0.0,)
/track/8/fx/2/name ('',)
/track/8/fx/2/number/str ('',)
/track/8/fx/2/preset ('',)
/track/8/fx/2/bypass (0.0,)
/track/8/fx/2/openui (0.0,)
/track/8/fx/2/fxparam/1/value (0.0,)
/track/8/fx/2/fxparam/2/value (0.0,)
/track/8/fx/2/fxparam/3/value (0.0,)
/track/8/fx/2/fxparam/4/value (0.0,)
/track/8/fx/2/fxparam/5/value (0.0,)
/track/8/fx/2/fxparam/6/value (0.0,)
/track/8/fx/2/fxparam/7/value (0.0,)
/track/8/fx/2/fxparam/8/value (0.0,)
/track/8/fx/2/fxparam/9/value (0.0,)
/track/8/fx/2/fxparam/10/value (0.0,)
/track/8/fx/2/fxparam/11/value (0.0,)
/track/8/fx/2/fxparam/12/value (0.0,)
/track/8/fx/2/fxparam/13/value (0.0,)
/track/8/fx/2/fxparam/14/value (0.0,)
/track/8/fx/2/fxparam/15/value (0.0,)
/track/8/fx/2/fxparam/16/value (0.0,)
/track/8/fx/3/name ('',)
/track/8/fx/3/number/str ('',)
/track/8/fx/3/preset ('',)
/track/8/fx/3/bypass (0.0,)
/track/8/fx/3/openui (0.0,)
/track/8/fx/3/fxparam/1/value (0.0,)
/track/8/fx/3/fxparam/2/value (0.0,)
/track/8/fx/3/fxparam/3/value (0.0,)
/track/8/fx/3/fxparam/4/value (0.0,)
/track/8/fx/3/fxparam/5/value (0.0,)
/track/8/fx/3/fxparam/6/value (0.0,)
/track/8/fx/3/fxparam/7/value (0.0,)
/track/8/fx/3/fxparam/8/value (0.0,)
/track/8/fx/3/fxparam/9/value (0.0,)
/track/8/fx/3/fxparam/10/value (0.0,)
/track/8/fx/3/fxparam/11/value (0.0,)
/track/8/fx/3/fxparam/12/value (0.0,)
/track/8/fx/3/fxparam/13/value (0.0,)
/track/8/fx/3/fxparam/14/value (0.0,)
/track/8/fx/3/fxparam/15/value (0.0,)
/track/8/fx/3/fxparam/16/value (0.0,)
/track/8/fx/4/name ('',)
/track/8/fx/4/number/str ('',)
/track/8/fx/4/preset ('',)
/track/8/fx/4/bypass (0.0,)
/track/8/fx/4/openui (0.0,)
/track/8/fx/4/fxparam/1/value (0.0,)
/track/8/fx/4/fxparam/2/value (0.0,)
/track/8/fx/4/fxparam/3/value (0.0,)
/track/8/fx/4/fxparam/4/value (0.0,)
/track/8/fx/4/fxparam/5/value (0.0,)
/track/8/fx/4/fxparam/6/value (0.0,)
/track/8/fx/4/fxparam/7/value (0.0,)
/track/8/fx/4/fxparam/8/value (0.0,)
/track/8/fx/4/fxparam/9/value (0.0,)
/track/8/fx/4/fxparam/10/value (0.0,)
/track/8/fx/4/fxparam/11/value (0.0,)
/track/8/fx/4/fxparam/12/value (0.0,)
/track/8/fx/4/fxparam/13/value (0.0,)
/track/8/fx/4/fxparam/14/value (0.0,)
/track/8/fx/4/fxparam/15/value (0.0,)
/track/8/fx/4/fxparam/16/value (0.0,)
/track/8/fx/5/name ('',)
/track/8/fx/5/number/str ('',)
/track/8/fx/5/preset ('',)
/track/8/fx/5/bypass (0.0,)
/track/8/fx/5/openui (0.0,)
/track/8/fx/5/fxparam/1/value (0.0,)
/track/8/fx/5/fxparam/2/value (0.0,)
/track/8/fx/5/fxparam/3/value (0.0,)
/track/8/fx/5/fxparam/4/value (0.0,)
/track/8/fx/5/fxparam/5/value (0.0,)
/track/8/fx/5/fxparam/6/value (0.0,)
/track/8/fx/5/fxparam/7/value (0.0,)
/track/8/fx/5/fxparam/8/value (0.0,)
/track/8/fx/5/fxparam/9/value (0.0,)
/track/8/fx/5/fxparam/10/value (0.0,)
/track/8/fx/5/fxparam/11/value (0.0,)
/track/8/fx/5/fxparam/12/value (0.0,)
/track/8/fx/5/fxparam/13/value (0.0,)
/track/8/fx/5/fxparam/14/value (0.0,)
/track/8/fx/5/fxparam/15/value (0.0,)
/track/8/fx/5/fxparam/16/value (0.0,)
/track/8/fx/6/name ('',)
/track/8/fx/6/number/str ('',)
/track/8/fx/6/preset ('',)
/track/8/fx/6/bypass (0.0,)
/track/8/fx/6/openui (0.0,)
/track/8/fx/6/fxparam/1/value (0.0,)
/track/8/fx/6/fxparam/2/value (0.0,)
/track/8/fx/6/fxparam/3/value (0.0,)
/track/8/fx/6/fxparam/4/value (0.0,)
/track/8/fx/6/fxparam/5/value (0.0,)
/track/8/fx/6/fxparam/6/value (0.0,)
/track/8/fx/6/fxparam/7/value (0.0,)
/track/8/fx/6/fxparam/8/value (0.0,)
/track/8/fx/6/fxparam/9/value (0.0,)
/track/8/fx/6/fxparam/10/value (0.0,)
/track/8/fx/6/fxparam/11/value (0.0,)
/track/8/fx/6/fxparam/12/value (0.0,)
/track/8/fx/6/fxparam/13/value (0.0,)
/track/8/fx/6/fxparam/14/value (0.0,)
/track/8/fx/6/fxparam/15/value (0.0,)
/track/8/fx/6/fxparam/16/value (0.0,)
/track/8/fx/7/name ('',)
/track/8/fx/7/number/str ('',)
/track/8/fx/7/preset ('',)
/track/8/fx/7/bypass (0.0,)
/track/8/fx/7/openui (0.0,)
/track/8/fx/7/fxparam/1/value (0.0,)
/track/8/fx/7/fxparam/2/value (0.0,)
/track/8/fx/7/fxparam/3/value (0.0,)
/track/8/fx/7/fxparam/4/value (0.0,)
/track/8/fx/7/fxparam/5/value (0.0,)
/track/8/fx/7/fxparam/6/value (0.0,)
/track/8/fx/7/fxparam/7/value (0.0,)
/track/8/fx/7/fxparam/8/value (0.0,)
/track/8/fx/7/fxparam/9/value (0.0,)
/track/8/fx/7/fxparam/10/value (0.0,)
/track/8/fx/7/fxparam/11/value (0.0,)
/track/8/fx/7/fxparam/12/value (0.0,)
/track/8/fx/7/fxparam/13/value (0.0,)
/track/8/fx/7/fxparam/14/value (0.0,)
/track/8/fx/7/fxparam/15/value (0.0,)
/track/8/fx/7/fxparam/16/value (0.0,)
/track/8/fx/8/name ('',)
/track/8/fx/8/number/str ('',)
/track/8/fx/8/preset ('',)
/track/8/fx/8/bypass (0.0,)
/track/8/fx/8/openui (0.0,)
/track/8/fx/8/fxparam/1/value (0.0,)
/track/8/fx/8/fxparam/2/value (0.0,)
/track/8/fx/8/fxparam/3/value (0.0,)
/track/8/fx/8/fxparam/4/value (0.0,)
/track/8/fx/8/fxparam/5/value (0.0,)
/track/8/fx/8/fxparam/6/value (0.0,)
/track/8/fx/8/fxparam/7/value (0.0,)
/track/8/fx/8/fxparam/8/value (0.0,)
/track/8/fx/8/fxparam/9/value (0.0,)
/track/8/fx/8/fxparam/10/value (0.0,)
/track/8/fx/8/fxparam/11/value (0.0,)
/track/8/fx/8/fxparam/12/value (0.0,)
/track/8/fx/8/fxparam/13/value (0.0,)
/track/8/fx/8/fxparam/14/value (0.0,)
/track/8/fx/8/fxparam/15/value (0.0,)
/track/8/fx/8/fxparam/16/value (0.0,)
/track/recarm (0.0,)
/track/recarm/toggle (0.0,)
/track/monitor (1.0,)
/master/vu (0.0,)
/master/vu/L (0.0,)
/master/vu/R (0.0,)
/track/vu (0.0,)
/track/vu/L (0.0,)
/track/vu/R (0.0,)
/track/1/vu (0.0,)
/track/1/vu/L (0.0,)
/track/1/vu/R (0.0,)
/track/2/vu (0.0,)
/track/2/vu/L (0.0,)
/track/2/vu/R (0.0,)
/track/3/vu (0.0,)
/track/3/vu/L (0.0,)
/track/3/vu/R (0.0,)
/track/4/vu (0.0,)
/track/4/vu/L (0.0,)
/track/4/vu/R (0.0,)
/track/5/vu (0.0,)
/track/5/vu/L (0.0,)
/track/5/vu/R (0.0,)
/track/6/vu (0.0,)
/track/6/vu/L (0.0,)
/track/6/vu/R (0.0,)
/track/7/vu (0.0,)
/track/7/vu/L (0.0,)
/track/7/vu/R (0.0,)
/track/8/vu (0.0,)
/track/8/vu/L (0.0,)
/track/8/vu/R (0.0,)
/loop/start/time (0.0,)
/loop/end/time (0.0,)
/lastmarker/name ('',)
/lastmarker/number/str ('',)
/lastmarker/time (0.0,)
/lastregion/name ('',)
/lastregion/number/str ('',)
/lastregion/time (0.0,)
/lastregion/length (0.0,)
